data,genero,munic�pio,frequencia,meio_transporte,segura_em_caronas,segura_em_transporte_publico,segura_em_taxi_uber, segura_motorista_genero_oposto,segura_motorista_mesmo_genero,requisitaria_caronas,frequencia_requisitar_caronas,importancia_escolher_motorista, importancia_genero_verificado,oferecer_caronas,frequencia_oferecer_caronas,importancia_saber_trajeto,importancia_dados_user,importancia_genero_verificado_user
2022/07/10 12:55:35 PM GMT-3,Masculino,Sorocaba,3 - 5 vezes por semana,Ônibus,Muito segura,Razoavelmente segura,Razoavelmente segura,Muito segura,Muito segura,Qualquer uma,1-2 vezes por semana,Muito importante,Muito importante,Razoavelmente importante,Pouco importante,Muito importante,,,,,,,
"2022/07/10 1:00:57 PM GMT-3,Feminino,Sorocaba,3 - 5 vezes por semana,Ônibus,Nada segura,Pouco segura,Nada segura,Nada segura,Muito segura,""Pegar carona somente com mulheres da ufscar e se tivesse uma forma de sabermos quem está disposta a dar carona, através de um app ou um cartaz informativo, redes sociais, etc, ficaria mais fácil e mais seguro."",1-2 vezes por semana,Muito importante,Muito importante,Razoavelmente importante,Razoavelmente importante,Muito importante,,,,,,,"
"2022/07/10 1:21:20 PM GMT-3,Feminino,Sorocaba,3 - 5 vezes por semana,Ônibus,Razoavelmente segura,Pouco segura,Razoavelmente segura,Pouco segura,Razoavelmente segura,""sim, pegaria carona com mulheres para ir embora para não chegar tao tarde em casa"",Só em casos de emergência,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Pouco importante,,,,,,,"
2022/07/10 1:21:43 PM GMT-3,Masculino,Sorocaba,3 - 5 vezes por semana,Ônibus,Muito segura,Muito segura,Muito segura,Muito segura,Muito segura,Super,3-5 vezes por semana,Razoavelmente importante,Pouco importante,Muito importante,Razoavelmente importante,Nada importante,,,,,,,
"2022/07/10 1:21:53 PM GMT-3,Masculino,Sorocaba,3 - 5 vezes por semana,Ônibus,Muito segura,Razoavelmente segura,Muito segura,Muito segura,Muito segura,""Se morar perto da minha casa, for barato e se os horários baterem"",3-5 vezes por semana,Razoavelmente importante,Muito importante,Nada importante,Nada importante,Nada importante,,,,,,,"
2022/07/10 1:31:17 PM GMT-3,Feminino,Sorocaba,3 - 5 vezes por semana,Ônibus,Pouco segura,Pouco segura,Pouco segura,Pouco segura,Razoavelmente segura,Prefiro,1-2 vezes por semana,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Pouco importante,,,,,,,
"2022/07/10 1:40:01 PM GMT-3,Masculino,Sorocaba,1 - 2 vezes por semana,Uber/Táxi,Muito segura,Pouco segura,Razoavelmente segura,Muito segura,Razoavelmente segura,""Quaisquer condições, desde que nenhuma lei esteja sendo infringida."",1-2 vezes por semana,Nada importante,Pouco importante,Razoavelmente importante,Pouco importante,Pouco importante,,,,,,,"
2022/07/10 1:46:17 PM GMT-3,Feminino,Sorocaba,3 - 5 vezes por semana,Ônibus,Muito segura,Razoavelmente segura,Razoavelmente segura,Pouco segura,Razoavelmente segura,estaria 100% disposta,3-5 vezes por semana,Muito importante,Muito importante,Pouco importante,Razoavelmente importante,Muito importante,,,,,,,
2022/07/10 2:00:56 PM GMT-3,Masculino,Sorocaba,3 - 5 vezes por semana,Ônibus,Razoavelmente segura,Razoavelmente segura,Muito segura,Muito segura,Muito segura,Sem problemas quanto a isso,3-5 vezes por semana,Razoavelmente importante,Muito importante,Pouco importante,Razoavelmente importante,Pouco importante,,,,,,,
"2022/07/10 3:20:59 PM GMT-3,Masculino,Sorocaba,3 - 5 vezes por semana,Ônibus,Razoavelmente segura,Pouco segura,Razoavelmente segura,Muito segura,Razoavelmente segura,""Em todas as condições, tirando se não for estudante da UFSCar, pois me sentiria mais seguro."",1-2 vezes por semana,Pouco importante,Muito importante,Razoavelmente importante,Muito importante,Razoavelmente importante,,,,,,,"
2022/07/10 3:32:12 PM GMT-3,Feminino,Sorocaba,3 - 5 vezes por semana,Ônibus,Razoavelmente segura,Razoavelmente segura,Pouco segura,Pouco segura,Razoavelmente segura,Conhecidas somente.,1-2 vezes por semana,Nada importante,Razoavelmente importante,Razoavelmente importante,Muito importante,Razoavelmente importante,,,,,,,
"2022/07/10 3:55:05 PM GMT-3,Masculino,Sorocaba,3 - 5 vezes por semana,Ônibus,Razoavelmente segura,Razoavelmente segura,Pouco segura,Razoavelmente segura,Razoavelmente segura,""Não tenho problema em pegar caronas com mulheres da Ufscar, contanto que ela siga as normas de trânsito."",1-2 vezes por semana,Pouco importante,Razoavelmente importante,Muito importante,Pouco importante,Nada importante,,,,,,,"
2022/07/10 4:05:14 PM GMT-3,Masculino,Sorocaba,3 - 5 vezes por semana,Ônibus,Muito segura,Muito segura,Muito segura,Muito segura,Muito segura,pegaria sem problema algum,3-5 vezes por semana,Nada importante,Razoavelmente importante,Pouco importante,Pouco importante,Nada importante,,,,,,,
